Date,Close,High,Low,Open,Volume,Ticker,Return,Cumulative_Return,Peak,Drawdown,Volatility
,,,,,,AAPL,,0.0,0.0,,
1989-01-03,0.2800903916358948,0.2809574719304133,0.2774891044413688,0.2792232881858911,100016000.0,AAPL,,0.0,0.0,,
1989-01-04,0.2913635373115539,0.2922306410774951,0.2809575742999612,0.2826917818318435,239948800.0,AAPL,0.040248241326013456,0.040248241326013456,0.040248241326013456,0.0,
1989-01-05,0.2930977344512939,0.3000353058567219,0.2861609734881745,0.2913635499993877,307328000.0,AAPL,0.005952004687139745,0.04643980373417467,0.04643980373417467,0.0,
1989-01-06,0.2956989407539367,0.3017694061978708,0.2930976302674914,0.2930976302674914,198665600.0,AAPL,0.008874876864921832,0.055726828138868534,0.055726828138868534,0.0,
1989-01-09,0.2983011603355407,0.2991682410969077,0.2930977727029347,0.2983011603355407,79307200.0,AAPL,0.00880023301730204,0.06501747022910775,0.06501747022910775,0.0,
1989-01-10,0.2956989407539367,0.2974339118759482,0.2878950556055734,0.294831837258455,103320000.0,AAPL,-0.008723464497010114,0.055726828138868534,0.06501747022910775,-0.1428945490727488,
1989-01-11,0.2922305762767792,0.2948318638422861,0.2861608975721002,0.2930976566949559,156128000.0,AAPL,-0.011729377414455122,0.04334380972506224,0.06501747022910775,-0.33335133507459047,
1989-01-12,0.2965660095214844,0.29830100373128,0.2913634350625785,0.2930976188303853,150315200.0,AAPL,0.014835659224786246,0.05882250294043345,0.06501747022910775,-0.09528157996373211,
1989-01-13,0.3000351190567016,0.301769325584396,0.2939646552344075,0.296565941870469,193905600.0,AAPL,0.011697596568179591,0.0712081814171408,0.0712081814171408,0.0,
1989-01-16,0.3035037517547607,0.3052379365142951,0.2983011743206589,0.3000353590801933,168593600.0,AAPL,0.011560755650752874,0.08359215745359183,0.08359215745359183,0.0,
1989-01-17,0.2800903916358948,0.3017693903705767,0.2774891044413688,0.3000351834705694,756604800.0,AAPL,-0.07714356077477602,0.0,0.08359215745359183,-1.0,
1989-01-18,0.2757548689842224,0.2852937237664579,0.274020685419292,0.2826916495549095,487928000.0,AAPL,-0.01547901242291938,-0.01547901242291938,0.08359215745359183,-1.1851730221404193,
1989-01-19,0.28095743060112,0.2844258207354437,0.2774890636222779,0.28095743060112,255987200.0,AAPL,0.018866617427506727,0.003095568399048565,0.08359215745359183,-0.9629681959008278,
1989-01-20,0.2844258546829223,0.2878950325176849,0.2792232804382273,0.2809574641346308,173734400.0,AAPL,0.0123450163762584,0.015478799617887118,0.08359215745359183,-0.8148295236131387,
1989-01-23,0.2844258546829223,0.2861608488212814,0.2826916709865188,0.2826916709865188,180532800.0,AAPL,0.0,0.015478799617887118,0.08359215745359183,-0.8148295236131387,
1989-01-24,0.2887623012065887,0.2896294051287892,0.2826918327752593,0.2844260174641625,223294400.0,AAPL,0.015246316227125911,0.03096111051880368,0.08359215745359183,-0.6296170422926041,
1989-01-25,0.2878950834274292,0.2913634745890514,0.2844259049791967,0.2896292905859846,110936000.0,AAPL,-0.003003223674059363,0.027864903704658994,0.08359215745359183,-0.6666564836524425,
1989-01-26,0.289629191160202,0.29223047784956,0.2818245206503074,0.2826916239319202,285264000.0,AAPL,0.006023401692477837,0.034056146905272255,0.08359215745359183,-0.5925916025773191,
1989-01-27,0.2610135674476623,0.2722858239972432,0.2514747080206477,0.2653490632043055,2127171200.0,AAPL,-0.09880089640795775,-0.06810952734512754,0.08359215745359183,-1.8147837000491363,
1989-01-30,0.2592785656452179,0.2636148250296545,0.2584114619634747,0.2610135371399162,586499200.0,AAPL,-0.006647170947511327,-0.07430396262122163,0.08359215745359183,-1.888886767427593,
1989-01-31,0.2618806362152099,0.2618806362152099,0.2549430659075749,0.2584114574180476,460353600.0,AAPL,0.010035810571215942,-0.06501385254356296,0.08359215745359183,-1.7777506230731865,
1989-02-01,0.2722856998443603,0.2748877741364873,0.2592784775294683,0.2618805518215953,487558400.0,AAPL,0.03973208473726042,-0.027864903704659105,0.08359215745359183,-1.3333435163475589,
1989-02-02,0.2757548689842224,0.279223259269566,0.2722856914124675,0.274020685419292,473491200.0,AAPL,0.012740915669993358,-0.01547901242291927,0.08359215745359183,-1.185173022140418,
1989-02-03,0.2722856998443603,0.279223267916295,0.2705515162257273,0.277489084297662,178908800.0,AAPL,-0.012580626962784835,-0.027864903704658994,0.08359215745359183,-1.3333435163475575,
1989-02-06,0.2670831680297851,0.2740207371977952,0.2653489841371662,0.2740207371977952,116737600.0,AAPL,-0.019106885956732156,-0.04643937812411092,0.08359215745359183,-1.5555470697103713,
1989-02-07,0.2705516219139099,0.272285806209984,0.2653490458701951,0.2653490458701951,165155200.0,AAPL,0.012986418836165692,-0.03405604050275601,0.08359215745359183,-1.4074071245459006,
1989-02-08,0.2653489410877228,0.2740206927414718,0.2636147343209694,0.2705515150770161,157012800.0,AAPL,-0.019229900709457404,-0.05263104693478815,0.08359215745359183,-1.6296170422926042,
1989-02-09,0.2653489410877228,0.2705515150770161,0.2636147343209694,0.2653489410877228,160809600.0,AAPL,0.0,-0.05263104693478815,0.08359215745359183,-1.6296170422926042,
1989-02-10,0.2584114968776703,0.2653490682446775,0.2566772892798737,0.2653490682446775,348342400.0,AAPL,-0.02614460861088952,-0.07739963742278633,0.08359215745359183,-1.9259198444035444,
1989-02-13,0.2566772401332855,0.2584114473990294,0.2549430560230316,0.2549430560230316,235188800.0,AAPL,-0.006711221309188664,-0.08359141263597969,0.08359215745359183,-1.9999910898625561,
1989-02-14,0.2480054497718811,0.2566772026545842,0.2445370589023201,0.2558101223038089,891576000.0,AAPL,-0.03378480443728238,-0.11455209754471929,0.08359215745359183,-2.3703689560628414,0.45357072498317175
1989-02-15,0.2514747679233551,0.2514747679233551,0.2462714030135128,0.2480055878359663,330624000.0,AAPL,0.013988878690630147,-0.10216567425039946,0.08359215745359183,-2.222192097471813,0.4375960790941118
1989-02-16,0.2523417770862579,0.2584114564172043,0.249740489252351,0.2514746734231253,255696000.0,AAPL,0.0034476984313871473,-0.09907021225386703,0.08359215745359183,-2.18516156624942,0.4371355945223319
